H	0.489918	20.659300	0.262003	7.740390	0.196767	49.551900	0.049879	2.20159	0.001305
H1-	0.897661	53.136800	0.565616	15.187000	0.415815	186.576000	0.116973	3.56709	0.002389
He	0.873400	9.103700	0.630900	3.356800	0.311200	22.927600	0.178000	0.9821	0.0064
Li	1.128200	3.954600	0.750800	1.052400	0.617500	85.390500	0.465300	168.261	0.0377
Li1+	0.696800	4.623700	0.788800	1.955700	0.341400	0.631600	0.156300	10.0953	0.0167
Be	1.591900	43.642700	1.127800	1.862300	0.539100	103.483000	0.702900	0.542	0.0385
Be2+	6.260300	0.002700	0.884900	0.831300	0.799300	2.275800	0.164700	5.1146	-6.1092
B	2.054500	23.218500	1.332600	1.021000	1.097900	60.349800	0.706800	0.1403	-0.1932
C	2.310000	20.843900	1.020000	10.207500	1.588600	0.568700	0.865000	51.6512	0.2156
Cval	2.260690	22.690700	1.561650	0.656665	1.050750	9.756180	0.839259	55.5949	0.286977
N	12.212600	0.005700	3.132200	9.893300	2.012500	28.997500	1.166300	0.5826	-11.529
O	3.048500	13.277100	2.286800	5.701100	1.546300	0.323900	0.867000	32.9089	0.2508
O1-	4.191600	12.857300	1.639690	4.172360	1.526730	47.017900	-20.307000	-0.01404	21.9412
F	3.539200	10.282500	2.641200	4.294400	1.517000	0.261500	1.024300	26.1476	0.2776
F1-	3.632200	5.277560	3.510570	14.735300	1.260640	0.442258	0.940706	47.3437	0.653396
Ne	3.955300	8.404200	3.112500	3.426200	1.454600	0.230600	1.125100	21.7184	0.3515
Na	4.762600	3.285000	3.173600	8.842200	1.267400	0.313600	1.112800	129.424	0.676
Na1+	3.256500	2.667100	3.936200	6.115300	1.399800	0.200100	1.003200	14.039	0.404
Mg	5.420400	2.827500	2.173500	79.261100	1.226900	0.380800	2.307300	7.1937	0.8584
Mg2+	3.498800	2.167600	3.837800	4.754200	1.328400	0.185000	0.849700	10.1411	0.4853
Al	6.420200	3.038700	1.900200	0.742600	1.593600	31.547200	1.964600	85.0886	1.1151
Al3+	4.174480	1.938160	3.387600	4.145530	1.202960	0.228753	0.528137	8.28524	0.706786
Siv	6.291500	2.438600	3.035300	32.333700	1.989100	0.678500	1.541000	81.6937	1.1407
Sival	5.662690	2.665200	3.071640	38.663400	2.624460	0.916946	1.393200	93.5458	1.24707
Si4+	4.439180	1.641670	3.203450	3.437570	1.194530	0.214900	0.416530	6.65365	0.746297
P	6.434500	1.906700	4.179100	27.157000	1.780000	0.526000	1.490800	68.1645	1.1149
S	6.905300	1.467900	5.203400	22.215100	1.437900	0.253600	1.586300	56.172	0.8669
Cl	11.460400	0.010400	7.196400	1.166200	6.255600	18.519400	1.645500	47.7784	-9.5574
Cl1-	18.291500	0.006600	7.208400	1.171700	6.533700	19.542400	2.338600	60.4486	-16.378
Ar	7.484500	0.907200	6.772300	14.840700	0.653900	43.898300	1.644200	33.3929	1.4445
K	8.218600	12.794900	7.439800	0.774800	1.051900	213.187000	0.865900	41.6841	1.4228
K1+	7.957800	12.633100	7.491700	0.767400	6.359000	-0.002000	1.191500	31.9128	-4.9978
Ca	8.626600	10.442100	7.387300	0.659900	1.589900	85.748400	1.021100	178.437	1.3751
